epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2223.67,0.98717,0.56497,1.00084,0.8225,0.8129,0.8288,0.51776,1.35974,0.7464,1.30723,0.0004555,0.0004555,0.0004555
57,2262.42,0.95487,0.55513,1.00029,0.85471,0.77038,0.81588,0.5018,1.39887,0.75862,1.35375,0.0004456,0.0004456,0.0004456
58,2301.59,0.97185,0.56336,1.0003,0.86939,0.79781,0.84719,0.51675,1.36502,0.7051,1.31606,0.0004357,0.0004357,0.0004357
59,2340.23,0.96384,0.54572,1.00052,0.87926,0.78397,0.82481,0.51707,1.4235,0.77432,1.34454,0.0004258,0.0004258,0.0004258
60,2378.71,0.94243,0.548,0.98703,0.871,0.77659,0.82428,0.51784,1.33339,0.75171,1.28618,0.0004159,0.0004159,0.0004159
61,2417.19,0.91554,0.53536,0.98848,0.86935,0.76716,0.83296,0.51163,1.36364,0.72976,1.31122,0.000406,0.000406,0.000406
62,2455.67,0.92415,0.53242,0.98659,0.87065,0.79361,0.82638,0.52633,1.35598,0.76037,1.31239,0.0003961,0.0003961,0.0003961
63,2494.94,0.91777,0.53071,0.98921,0.83726,0.80664,0.83074,0.51652,1.39851,0.78863,1.34715,0.0003862,0.0003862,0.0003862
64,2533.67,0.92752,0.53064,0.98443,0.82818,0.80623,0.82739,0.51249,1.36129,0.74392,1.3323,0.0003763,0.0003763,0.0003763
65,2572.1,0.8921,0.52086,0.98179,0.78653,0.75782,0.807,0.49322,1.35681,0.7695,1.3132,0.0003664,0.0003664,0.0003664
66,2610.74,0.88157,0.51745,0.9786,0.83558,0.80986,0.83052,0.5229,1.33427,0.74376,1.30225,0.0003565,0.0003565,0.0003565
67,2649.31,0.86988,0.51684,0.97673,0.83415,0.81304,0.82519,0.50076,1.41278,0.74956,1.37109,0.0003466,0.0003466,0.0003466
68,2687.95,0.89185,0.52277,0.9703,0.8692,0.7776,0.82305,0.51764,1.39648,0.75145,1.34624,0.0003367,0.0003367,0.0003367
69,2726.88,0.86214,0.50007,0.97107,0.85282,0.79449,0.83016,0.52409,1.38298,0.75781,1.35394,0.0003268,0.0003268,0.0003268
70,2765.42,0.8578,0.5042,0.97211,0.85614,0.798,0.8297,0.51015,1.37523,0.78648,1.37122,0.0003169,0.0003169,0.0003169
71,2804.12,0.84221,0.48703,0.95347,0.85454,0.80013,0.83121,0.51371,1.37453,0.76669,1.35592,0.000307,0.000307,0.000307
72,2842.87,0.82498,0.4823,0.95422,0.85912,0.80458,0.82423,0.51389,1.37932,0.77577,1.36466,0.0002971,0.0002971,0.0002971
73,2881.62,0.82891,0.47203,0.94499,0.87763,0.78165,0.83109,0.51463,1.36512,0.77585,1.3552,0.0002872,0.0002872,0.0002872
74,2920.55,0.8169,0.47512,0.94966,0.8337,0.80972,0.84367,0.53717,1.36054,0.72081,1.35746,0.0002773,0.0002773,0.0002773
75,2960.37,0.81914,0.47606,0.94781,0.81364,0.81787,0.83088,0.51843,1.33152,0.75333,1.29943,0.0002674,0.0002674,0.0002674
76,2999.26,0.81063,0.47631,0.94951,0.84234,0.81788,0.82658,0.52638,1.34308,0.73103,1.27804,0.0002575,0.0002575,0.0002575
77,3037.79,0.77497,0.46434,0.93533,0.8823,0.79942,0.83429,0.52515,1.34426,0.77723,1.3383,0.0002476,0.0002476,0.0002476
78,3076.7,0.79811,0.47192,0.94322,0.85536,0.79614,0.83386,0.52342,1.38844,0.75816,1.32583,0.0002377,0.0002377,0.0002377
79,3115.56,0.7822,0.45841,0.93806,0.85495,0.7783,0.8253,0.51638,1.33489,0.77126,1.29764,0.0002278,0.0002278,0.0002278
80,3154.05,0.76409,0.45814,0.93729,0.8728,0.80264,0.8341,0.52562,1.39193,0.76236,1.37351,0.0002179,0.0002179,0.0002179
81,3192.89,0.76424,0.44914,0.92871,0.88917,0.77703,0.83511,0.53282,1.34829,0.75764,1.32421,0.000208,0.000208,0.000208
82,3231.69,0.76502,0.44925,0.93805,0.86961,0.80672,0.83453,0.52893,1.36373,0.76638,1.32735,0.0001981,0.0001981,0.0001981
83,3270.47,0.74823,0.44253,0.92556,0.87864,0.81186,0.83756,0.52839,1.29856,0.73057,1.30666,0.0001882,0.0001882,0.0001882
84,3309.22,0.74206,0.43245,0.91654,0.89367,0.79906,0.85445,0.5468,1.34448,0.723,1.31262,0.0001783,0.0001783,0.0001783
85,3349.42,0.7253,0.43389,0.92517,0.86173,0.79435,0.84777,0.53889,1.35479,0.72068,1.31675,0.0001684,0.0001684,0.0001684
86,3388.4,0.73279,0.43384,0.92234,0.85921,0.81673,0.83771,0.53353,1.3669,0.73591,1.31583,0.0001585,0.0001585,0.0001585
87,3427.46,0.71305,0.42686,0.92586,0.85573,0.79267,0.84859,0.52643,1.3926,0.73967,1.34224,0.0001486,0.0001486,0.0001486
88,3466.72,0.70632,0.4296,0.91543,0.84195,0.83573,0.84876,0.53852,1.34636,0.72254,1.32102,0.0001387,0.0001387,0.0001387
89,3505.41,0.69102,0.42182,0.92138,0.85417,0.79769,0.83601,0.5293,1.38505,0.73036,1.35446,0.0001288,0.0001288,0.0001288
90,3544.18,0.68897,0.41599,0.91085,0.82351,0.80444,0.83284,0.53073,1.37472,0.745,1.35113,0.0001189,0.0001189,0.0001189
